SETTLEMENTDATE,RRP,Renewable_MW
2023-04-30,176.96430850694443,881.0218915972223
2023-05-01,137.72464399305557,1059.5367225069444
2023-05-02,140.08483493055553,909.9529348090277
2023-05-03,102.94228208333334,1082.8584539340277
2023-05-04,130.0411926388889,1141.7309895902777
2023-05-05,133.14834420138888,1177.252032503472
2023-05-06,134.44415340277777,992.9928907708332
2023-05-07,114.45978746527778,971.2838449166666
2023-05-08,84.48355451388889,1354.3245086875002
2023-05-09,125.19743861111111,1218.3608509826388
2023-05-10,160.98980454861112,1157.9088009270833
2023-05-11,128.25935437500002,1296.8964594756944
2023-05-12,152.0600942361111,1233.70513365625
2023-05-13,121.1189901388889,1261.6673848194446
2023-05-14,127.47482413194444,1116.8953925347223
2023-05-15,159.05918715277778,926.6536671006945
2023-05-16,193.804735625,793.7273228993056
