SETTLEMENTDATE,RRP
2023-04-06,107.71327934027778
2023-04-07,84.76824829861111
2023-04-08,31.239558541666668
2023-04-09,24.540020659722224
2023-04-10,62.17069336805556
2023-04-11,102.33768093750001
2023-04-12,182.81074243055556
2023-04-13,90.94474086805556
2023-04-14,87.51818447916668
2023-04-15,87.16134631944445
2023-04-16,123.30844986111111
2023-04-17,137.6794532986111
2023-04-18,107.39490156250001
2023-04-19,133.16102309027778
2023-04-20,118.12381270833333
2023-04-21,117.89381663194445
2023-04-22,65.95009739583332
2023-04-23,64.50938708333334
2023-04-24,84.58867402777778
2023-04-25,81.381221875
2023-04-26,91.72632385416667
2023-04-27,96.1257373263889
2023-04-28,117.61923399305556
2023-04-29,171.27085347222223
2023-04-30,176.96430850694443
2023-05-01,137.72464399305557
2023-05-02,140.08483493055553
2023-05-03,102.94228208333334
2023-05-04,130.0411926388889
2023-05-05,133.14834420138888
2023-05-06,134.44415340277777
2023-05-07,114.45978746527778
2023-05-08,84.48355451388889
2023-05-09,125.19743861111111
2023-05-10,160.98980454861112
2023-05-11,128.25935437500002
2023-05-12,152.0600942361111
2023-05-13,121.1189901388889
2023-05-14,127.47482413194444
2023-05-15,159.05918715277778
2023-05-16,193.804735625
2023-05-17,201.35943090277777
2023-05-18,143.2352826736111
2023-05-19,146.8491540277778
2023-05-20,185.27772677083334
2023-05-21,82.90603770833333
2023-05-22,149.49401430555557
2023-05-23,209.2819670138889
2023-05-24,477.35737763888886
2023-05-25,346.266705
2023-05-26,120.58215614583332
2023-05-27,190.2300444097222
2023-05-28,88.54871506944444
2023-05-29,109.09840322916666
2023-05-30,397.80309375
2023-05-31,118.6996382986111
2023-06-01,113.51300003472221
2023-06-02,118.25353722222222
2023-06-03,96.50261611111111
2023-06-04,86.81523204861111
2023-06-05,89.73508277777778
2023-06-06,96.37074958333334
2023-06-07,79.81475513888888
2023-06-08,96.93289822916667
2023-06-09,82.60517666666667
2023-06-10,81.8054484375
2023-06-11,93.36935854166667
2023-06-12,296.1031298958333
2023-06-13,106.68995552083334
2023-06-14,63.837493645833334
2023-06-15,68.2831417361111
2023-06-16,75.8886275
2023-06-17,93.35700524305555
2023-06-18,72.88895277777777
2023-06-19,194.989495625
2023-06-20,134.89191375000001
2023-06-21,190.80706895833333
2023-06-22,120.3454565625
2023-06-23,85.93233125
2023-06-24,68.46185402777778
2023-06-25,64.27110552083333
2023-06-26,77.02921552083333
2023-06-27,76.80668447916668
2023-06-28,95.98096472222223
2023-06-29,87.40914631944445
2023-06-30,68.89206930555555
2023-07-01,113.20204305555555
2023-07-02,94.0288232638889
2023-07-03,159.7448087152778
2023-07-04,148.7339142361111
2023-07-05,87.47990826388889
2023-07-06,79.49433052083333
2023-07-07,41.95875288194444
2023-07-08,39.501043645833334
2023-07-09,44.04279586805555
2023-07-10,58.84538798611111
2023-07-11,78.67770572916668
2023-07-12,71.56593482638888
2023-07-13,68.05696697916667
2023-07-14,42.34514625
2023-07-15,62.456042777777775
2023-07-16,69.74719295138888
2023-07-17,94.30753788194444
2023-07-18,82.76971097222221
2023-07-19,64.00634590277778
2023-07-20,56.48377986111112
2023-07-21,82.21534899305556
2023-07-22,57.28138649305556
2023-07-23,78.0085357986111
2023-07-24,114.85852829861112
2023-07-25,100.80396743055556
2023-07-26,99.51244204861112
2023-07-27,71.26250861111112
2023-07-28,71.5321965625
2023-07-29,56.70901895833333
2023-07-30,41.585509340277774
2023-07-31,64.29343784722222
2023-08-01,150.3069328125
2023-08-02,74.78791034722222
