Datetime,SETTLEMENTDATE,Avg_RRP
2023-01-06 09:00:00,2023-01-06 09:27:30.000000000,28.6033425
2023-01-06 10:00:00,2023-01-06 10:27:30.000000000,30.4665875
2023-01-06 11:00:00,2023-01-06 11:27:30.000000000,23.7959975
2023-01-06 12:00:00,2023-01-06 12:27:30.000000000,27.647985833333333
2023-01-06 13:00:00,2023-01-06 13:27:30.000000000,12.749475833333333
2023-01-06 14:00:00,2023-01-06 14:27:30.000000000,56.72179166666666
2023-01-06 15:00:00,2023-01-06 15:27:30.000000000,50.75310083333333
2023-01-06 16:00:00,2023-01-06 16:27:30.000000000,68.30256666666666
2023-01-06 17:00:00,2023-01-06 17:27:30.000000000,85.81412166666667
2023-01-06 18:00:00,2023-01-06 18:27:30.000000000,125.5866575
2023-01-06 19:00:00,2023-01-06 19:27:30.000000000,142.96388
2023-01-06 20:00:00,2023-01-06 20:27:30.000000000,127.9175375
2023-01-06 21:00:00,2023-01-06 21:27:30.000000000,105.18148416666666
2023-01-06 22:00:00,2023-01-06 22:27:30.000000000,113.07536333333333
2023-01-06 23:00:00,2023-01-06 23:27:30.000000000,86.16002083333335
2023-01-07 00:00:00,2023-01-07 00:27:30.000000000,87.0330675
2023-01-07 01:00:00,2023-01-07 01:27:30.000000000,74.76771083333334
2023-01-07 02:00:00,2023-01-07 02:27:30.000000000,73.39333166666667
2023-01-07 03:00:00,2023-01-07 03:27:30.000000000,66.12927083333334
2023-01-07 04:00:00,2023-01-07 04:27:30.000000000,73.32733083333333
2023-01-07 05:00:00,2023-01-07 05:27:30.000000000,71.78039
2023-01-07 06:00:00,2023-01-07 06:27:30.000000000,-15.944793333333331
2023-01-07 07:00:00,2023-01-07 07:27:30.000000000,-21.966603333333335
2023-01-07 08:00:00,2023-01-07 08:27:30.000000000,-20.8992125
2023-01-07 09:00:00,2023-01-07 09:27:30.000000000,-12.462335000000001
2023-01-07 10:00:00,2023-01-07 10:27:30.000000000,-37.039544166666666
2023-01-07 11:00:00,2023-01-07 11:27:30.000000000,-40.76798
2023-01-07 12:00:00,2023-01-07 12:27:30.000000000,-37.3755625
2023-01-07 13:00:00,2023-01-07 13:27:30.000000000,-11.435654999999999
2023-01-07 14:00:00,2023-01-07 14:27:30.000000000,27.524240000000002
2023-01-07 15:00:00,2023-01-07 15:27:30.000000000,32.331317500000004
2023-01-07 16:00:00,2023-01-07 16:27:30.000000000,66.61358
2023-01-07 17:00:00,2023-01-07 17:27:30.000000000,78.4522925
2023-01-07 18:00:00,2023-01-07 18:27:30.000000000,134.65085833333333
2023-01-07 19:00:00,2023-01-07 19:27:30.000000000,128.29899833333334
2023-01-07 20:00:00,2023-01-07 20:27:30.000000000,119.61008583333334
2023-01-07 21:00:00,2023-01-07 21:27:30.000000000,103.56747916666666
2023-01-07 22:00:00,2023-01-07 22:27:30.000000000,99.99865583333333
2023-01-07 23:00:00,2023-01-07 23:27:30.000000000,83.05271499999999
2023-01-08 00:00:00,2023-01-08 00:27:30.000000000,74.57857083333333
2023-01-08 01:00:00,2023-01-08 01:27:30.000000000,53.2308175
2023-01-08 02:00:00,2023-01-08 02:27:30.000000000,82.1938
2023-01-08 03:00:00,2023-01-08 03:27:30.000000000,82.55057166666667
2023-01-08 04:00:00,2023-01-08 04:27:30.000000000,87.27228333333333
2023-01-08 05:00:00,2023-01-08 05:27:30.000000000,84.92028916666668
2023-01-08 06:00:00,2023-01-08 06:27:30.000000000,17.564912500000002
2023-01-08 07:00:00,2023-01-08 07:27:30.000000000,-44.2801275
2023-01-08 08:00:00,2023-01-08 08:27:30.000000000,-55.60762833333334
2023-01-08 09:00:00,2023-01-08 09:27:30.000000000,-59.70500833333333
2023-01-08 10:00:00,2023-01-08 10:27:30.000000000,-60.118875
2023-01-08 11:00:00,2023-01-08 11:27:30.000000000,-53.48045166666666
2023-01-08 12:00:00,2023-01-08 12:27:30.000000000,-45.687176666666666
2023-01-08 13:00:00,2023-01-08 13:27:30.000000000,-17.95680833333333
2023-01-08 14:00:00,2023-01-08 14:27:30.000000000,27.293692500000002
2023-01-08 15:00:00,2023-01-08 15:27:30.000000000,28.114628333333332
2023-01-08 16:00:00,2023-01-08 16:27:30.000000000,54.685915
2023-01-08 17:00:00,2023-01-08 17:27:30.000000000,93.27050333333334
2023-01-08 18:00:00,2023-01-08 18:27:30.000000000,239.90410333333332
2023-01-08 19:00:00,2023-01-08 19:27:30.000000000,224.95917
2023-01-08 20:00:00,2023-01-08 20:27:30.000000000,135.58540250000001
2023-01-08 21:00:00,2023-01-08 21:27:30.000000000,116.73138999999999
2023-01-08 22:00:00,2023-01-08 22:27:30.000000000,120.73338333333334
2023-01-08 23:00:00,2023-01-08 23:27:30.000000000,102.31913833333334
2023-01-09 00:00:00,2023-01-09 00:27:30.000000000,109.4337125
2023-01-09 01:00:00,2023-01-09 01:27:30.000000000,97.75523500000001
2023-01-09 02:00:00,2023-01-09 02:27:30.000000000,111.22927583333335
2023-01-09 03:00:00,2023-01-09 03:27:30.000000000,125.55220916666667
2023-01-09 04:00:00,2023-01-09 04:27:30.000000000,116.4593375
2023-01-09 05:00:00,2023-01-09 05:27:30.000000000,118.42944166666666
2023-01-09 06:00:00,2023-01-09 06:27:30.000000000,74.62551583333334
2023-01-09 07:00:00,2023-01-09 07:27:30.000000000,61.78861
2023-01-09 08:00:00,2023-01-09 08:27:30.000000000,69.24612416666666
2023-01-09 09:00:00,2023-01-09 09:27:30.000000000,38.495982500000004
2023-01-09 10:00:00,2023-01-09 10:27:30.000000000,36.465960833333334
2023-01-09 11:00:00,2023-01-09 11:27:30.000000000,22.399604999999998
2023-01-09 12:00:00,2023-01-09 12:27:30.000000000,34.8954075
2023-01-09 13:00:00,2023-01-09 13:27:30.000000000,80.20776333333333
2023-01-09 14:00:00,2023-01-09 14:27:30.000000000,90.42317416666667
2023-01-09 15:00:00,2023-01-09 15:27:30.000000000,124.28195
2023-01-09 16:00:00,2023-01-09 16:27:30.000000000,125.7372125
2023-01-09 17:00:00,2023-01-09 17:27:30.000000000,137.35019333333335
2023-01-09 18:00:00,2023-01-09 18:27:30.000000000,272.06914416666666
2023-01-09 19:00:00,2023-01-09 19:27:30.000000000,169.72320249999999
2023-01-09 20:00:00,2023-01-09 20:27:30.000000000,133.35189666666665
2023-01-09 21:00:00,2023-01-09 21:27:30.000000000,115.97439583333333
2023-01-09 22:00:00,2023-01-09 22:27:30.000000000,113.68799583333333
2023-01-09 23:00:00,2023-01-09 23:27:30.000000000,112.25846083333334
2023-01-10 00:00:00,2023-01-10 00:27:30.000000000,112.046095
2023-01-10 01:00:00,2023-01-10 01:27:30.000000000,95.30178916666667
2023-01-10 02:00:00,2023-01-10 02:27:30.000000000,89.52324083333333
2023-01-10 03:00:00,2023-01-10 03:27:30.000000000,91.71832416666666
2023-01-10 04:00:00,2023-01-10 04:27:30.000000000,124.37855166666667
2023-01-10 05:00:00,2023-01-10 05:27:30.000000000,117.29736083333334
2023-01-10 06:00:00,2023-01-10 06:27:30.000000000,78.8529
2023-01-10 07:00:00,2023-01-10 07:27:30.000000000,77.00932083333333
2023-01-10 08:00:00,2023-01-10 08:27:30.000000000,86.02321333333333
2023-01-10 09:00:00,2023-01-10 09:27:30.000000000,39.02936166666667
2023-01-10 10:00:00,2023-01-10 10:27:30.000000000,27.998720000000002
2023-01-10 11:00:00,2023-01-10 11:27:30.000000000,45.83114666666666
2023-01-10 12:00:00,2023-01-10 12:27:30.000000000,34.17563416666667
2023-01-10 13:00:00,2023-01-10 13:27:30.000000000,64.22249000000001
2023-01-10 14:00:00,2023-01-10 14:27:30.000000000,96.29862583333333
2023-01-10 15:00:00,2023-01-10 15:27:30.000000000,79.73292166666666
2023-01-10 16:00:00,2023-01-10 16:27:30.000000000,88.73310916666667
